*** COUNTS ***
823×2 DataFrame
 Row │ PM          N
     │ String15    Int64
─────┼───────────────────
 672 │ 2021/11/22     70
 673 │ 2021/11/23    447
 674 │ 2021/11/24    287
 675 │ 2021/11/25    314
 676 │ 2021/11/26    196
 677 │ 2021/11/27    158
 678 │ 2021/11/28    609
 679 │ 2021/11/29    101
 680 │ 2021/11/30    312
 681 │ 2021/12/01    178
 682 │ 2021/12/02    307
 683 │ 2021/12/03    270
 684 │ 2021/12/04    304
 685 │ 2021/12/05     85
 686 │ 2021/12/06    136
 687 │ 2021/12/07    468
 688 │ 2021/12/08    228
 689 │ 2021/12/09    231
 690 │ 2021/12/10    220
 691 │ 2021/12/11    452
 692 │ 2021/12/12    156
 693 │ 2021/12/13      2
 694 │ 2021/12/14    590
 695 │ 2021/12/15    194
 696 │ 2021/12/16    411
 697 │ 2021/12/17    236
 698 │ 2021/12/18    273
 699 │ 2021/12/19    107
 700 │ 2021/12/20     78
 701 │ 2021/12/21    373
 702 │ 2021/12/22    251
 703 │ 2021/12/23    252
 704 │ 2021/12/24    354
 705 │ 2021/12/25    429
 706 │ 2021/12/26     58
 707 │ 2021/12/27    100
 708 │ 2021/12/28    312
 709 │ 2021/12/29    284
 710 │ 2021/12/30    146
 711 │ 2021/12/31    217
 712 │ 2022/01/01    134
 713 │ 2022/01/02     75
 714 │ 2022/01/03     49
 715 │ 2022/01/04    298
 716 │ 2022/01/05    178
 717 │ 2022/01/06    167
 718 │ 2022/01/07    219
 719 │ 2022/01/08    258
 720 │ 2022/01/09    101
 721 │ 2022/01/10     85
 722 │ 2022/01/11    388
 723 │ 2022/01/12    396
 724 │ 2022/01/13    288
 725 │ 2022/01/14    287
 726 │ 2022/01/15    198
 727 │ 2022/01/16    109
 728 │ 2022/01/17     82
 729 │ 2022/01/18    316
 730 │ 2022/01/19    214
 731 │ 2022/01/20    217
 732 │ 2022/01/21    291
 733 │ 2022/01/22    516
 734 │ 2022/01/23    281
 735 │ 2022/01/24     77
 736 │ 2022/01/25    390
 737 │ 2022/01/26    287
 738 │ 2022/01/27    217
 739 │ 2022/01/28    253
 740 │ 2022/01/29    225
 741 │ 2022/01/30    143
 742 │ 2022/01/31     72
 743 │ 2022/02/01    394
 744 │ 2022/02/02    231
 745 │ 2022/02/03    235
 746 │ 2022/02/04    231
 747 │ 2022/02/05    189
 748 │ 2022/02/06    146
 749 │ 2022/02/07     90
 750 │ 2022/02/08    357
 751 │ 2022/02/09    270
 752 │ 2022/02/10    299
 753 │ 2022/02/11    227
 754 │ 2022/02/12    197
 755 │ 2022/02/13    149
 756 │ 2022/02/14     79
 757 │ 2022/02/15    356
 758 │ 2022/02/16    479
 759 │ 2022/02/17    221
 760 │ 2022/02/18    214
 761 │ 2022/02/19    191
 762 │ 2022/02/20     86
 763 │ 2022/02/21     62
 764 │ 2022/02/22    270
 765 │ 2022/02/23    203
 766 │ 2022/02/24    223
 767 │ 2022/02/25    265
 768 │ 2022/02/26    515
 769 │ 2022/02/27    340
 770 │ 2022/02/28     77
 771 │ 2022/03/01    384
