*** COUNTS ***
4732×2 DataFrame
  Row │ DP                 N
      │ String31           Int64
──────┼──────────────────────────
  621 │ 1962 Jun               3
  622 │ 1962 Jun 1-3           4
  623 │ 1962 Jun 16            1
  624 │ 1962 Jun 18            1
  625 │ 1962 Mar               3
  626 │ 1962 Mar 3             1
  627 │ 1962 May               7
  628 │ 1962 May 1             1
  629 │ 1962 May 24            1
  630 │ 1962 May-Jun           1
  631 │ 1962 Nov 23            1
  632 │ 1962 Nov-Dec           1
  633 │ 1962 Oct               2
  634 │ 1962 Oct 5             1
  635 │ 1962 Oct 6             1
  636 │ 1962 Sep               5
  637 │ 1962 Sep 1             3
  638 │ 1962 Sep 30            1
  639 │ 1962 Sep-Oct           2
  640 │ 1963                  23
  641 │ 1963 Apr               7
  642 │ 1963 Apr 20            1
  643 │ 1963 Apr 8             1
  644 │ 1963 Aug               9
  645 │ 1963 Aug 17            2
  646 │ 1963 Aug 24            1
  647 │ 1963 Aug 31            1
  648 │ 1963 Dec              11
  649 │ 1963 Dec 13            1
  650 │ 1963 Dec 22            1
  651 │ 1963 Dec 23            1
  652 │ 1963 Dec 31            1
  653 │ 1963 Dec 9             1
  654 │ 1963 Feb               2
  655 │ 1963 Feb 1             1
  656 │ 1963 Feb 17            1
  657 │ 1963 Feb 2             1
  658 │ 1963 Feb 9             2
  659 │ 1963 Jan               1
  660 │ 1963 Jan 11            1
  661 │ 1963 Jan 26            1
  662 │ 1963 Jan-Feb           1
  663 │ 1963 Jan-Mar           1
  664 │ 1963 Jul              10
  665 │ 1963 Jul 15            1
  666 │ 1963 Jul 16            1
  667 │ 1963 Jul 27            1
  668 │ 1963 Jul 31            1
  669 │ 1963 Jul 8             1
  670 │ 1963 Jul-Aug           5
  671 │ 1963 Jun               3
  672 │ 1963 Jun 15            2
  673 │ 1963 Jun 22            1
  674 │ 1963 Mar               3
  675 │ 1963 Mar 22-29         1
  676 │ 1963 Mar-Apr           1
  677 │ 1963 May               8
  678 │ 1963 May 17-24         1
  679 │ 1963 May 31            1
  680 │ 1963 May-Jun           4
  681 │ 1963 Nov              15
  682 │ 1963 Nov 15            1
  683 │ 1963 Nov 5             1
  684 │ 1963 Nov 8             1
  685 │ 1963 Nov-Dec           5
  686 │ 1963 Oct              13
  687 │ 1963 Oct 1             1
  688 │ 1963 Oct 10            1
