*** COUNTS ***
1072×2 DataFrame
  Row │ DP                              N
      │ String31                        Int64
──────┼───────────────────────────────────────
  540 │ 2021 Dec 27                        75
  541 │ 2021 Dec 28                        71
  542 │ 2021 Dec 29                        92
  543 │ 2021 Dec 3                        111
  544 │ 2021 Dec 30                       125
  545 │ 2021 Dec 31                       101
  546 │ 2021 Dec 4                         41
  547 │ 2021 Dec 5                         30
  548 │ 2021 Dec 6                        184
  549 │ 2021 Dec 7                        113
  550 │ 2021 Dec 8                         94
  551 │ 2021 Dec 9                        109
  552 │ 2021 Decembre                       1
  553 │ 2021 Fall                          34
  554 │ 2021 Feb                         3435
  555 │ 2021 Feb 1                        505
  556 │ 2021 Feb 10                        95
  557 │ 2021 Feb 11                        88
  558 │ 2021 Feb 12                        91
  559 │ 2021 Feb 13                        46
  560 │ 2021 Feb 14                        20
  561 │ 2021 Feb 15                       134
  562 │ 2021 Feb 16                       104
  563 │ 2021 Feb 17                       104
  564 │ 2021 Feb 18                       119
  565 │ 2021 Feb 19                        85
  566 │ 2021 Feb 2                         94
  567 │ 2021 Feb 20                        67
  568 │ 2021 Feb 21                        27
  569 │ 2021 Feb 22                        97
  570 │ 2021 Feb 23                       147
  571 │ 2021 Feb 24                        89
  572 │ 2021 Feb 25                       115
  573 │ 2021 Feb 26                       125
  574 │ 2021 Feb 27                        48
  575 │ 2021 Feb 28                        35
  576 │ 2021 Feb 3                         99
  577 │ 2021 Feb 4                         89
  578 │ 2021 Feb 5                        123
  579 │ 2021 Feb 6                         24
  580 │ 2021 Feb 7                         17
  581 │ 2021 Feb 8                         97
  582 │ 2021 Feb 9                         89
  583 │ 2021 Feb-Apr                        2
  584 │ 2021 Feb-Mar                        1
  585 │ 2021 Feb-May                        5
  586 │ 2021 First Quarter                  1
  587 │ 2021 Jan                         3852
  588 │ 2021 Jan & Feb                     28
  589 │ 2021 Jan - Feb                     17
  590 │ 2021 Jan 1                        433
  591 │ 2021 Jan 10                        28
  592 │ 2021 Jan 11                        91
  593 │ 2021 Jan 12                       113
  594 │ 2021 Jan 13                        59
  595 │ 2021 Jan 14                        74
  596 │ 2021 Jan 15                       183
  597 │ 2021 Jan 16                        45
  598 │ 2021 Jan 17                        16
  599 │ 2021 Jan 18                        81
  600 │ 2021 Jan 19                        98
  601 │ 2021 Jan 2                         47
  602 │ 2021 Jan 20                        92
  603 │ 2021 Jan 21                        96
  604 │ 2021 Jan 22                       100
  605 │ 2021 Jan 23                        57
  606 │ 2021 Jan 24                        15
  607 │ 2021 Jan 25                        89
  608 │ 2021 Jan 26                        75
  609 │ 2021 Jan 27                       101
  610 │ 2021 Jan 28                        91
  611 │ 2021 Jan 29                       156
  612 │ 2021 Jan 3                         16
  613 │ 2021 Jan 30                        46
  614 │ 2021 Jan 31                        29
  615 │ 2021 Jan 4                        152
  616 │ 2021 Jan 5                        114
  617 │ 2021 Jan 6                         90
  618 │ 2021 Jan 7                        117
  619 │ 2021 Jan 8                        136
  620 │ 2021 Jan 9                         45
  621 │ 2021 Jan-Apr                       32
  622 │ 2021 Jan-Dec                      472
  623 │ 2021 Jan-Feb                      342
  624 │ 2021 Jan-Feb 01                    25
  625 │ 2021 Jan-Jun                       34
  626 │ 2021 Jan-Mar                      206
  627 │ 2021 Jan-Mar 01                     8
  628 │ 2021 Jan-May                        7
  629 │ 2021 Jan.-Mar                       2
  630 │ 2021 Jan/Feb                       46
  631 │ 2021 Jan/Mar                        6
  632 │ 2021 Jan/Mar 01                     6
  633 │ 2021 Juillet                        1
  634 │ 2021 Juin                           1
  635 │ 2021 Jul                         3464
  636 │ 2021 Jul 1                        532
  637 │ 2021 Jul 10                        39
  638 │ 2021 Jul 11                        13
  639 │ 2021 Jul 12                        85
  640 │ 2021 Jul 13                       124
  641 │ 2021 Jul 14                       112
  642 │ 2021 Jul 15                       198
  643 │ 2021 Jul 16                        98
  644 │ 2021 Jul 17                        25
  645 │ 2021 Jul 18                        32
  646 │ 2021 Jul 19                       109
  647 │ 2021 Jul 2                        130
  648 │ 2021 Jul 20                       102
  649 │ 2021 Jul 21                        79
  650 │ 2021 Jul 22                        90
  651 │ 2021 Jul 23                        92
  652 │ 2021 Jul 24                        44
  653 │ 2021 Jul 25                        18
  654 │ 2021 Jul 26                       104
  655 │ 2021 Jul 27                       128
  656 │ 2021 Jul 28                        93
  657 │ 2021 Jul 29                       125
  658 │ 2021 Jul 3                         57
  659 │ 2021 Jul 30                       125
  660 │ 2021 Jul 31                        60
  661 │ 2021 Jul 4                         29
  662 │ 2021 Jul 5                         91
  663 │ 2021 Jul 6                        109
  664 │ 2021 Jul 7                         70
  665 │ 2021 Jul 8                         89
  666 │ 2021 Jul 9                        107
  667 │ 2021 Jul-Aug                      378
  668 │ 2021 Jul-Aug 01                    45
  669 │ 2021 Jul-Dec                       12
  670 │ 2021 Jul-Oct                       22
  671 │ 2021 Jul-Sep                      180
  672 │ 2021 Jul-Sep 01                    11
  673 │ 2021 Jun                         3826
  674 │ 2021 Jun 1                        518
  675 │ 2021 Jun 10                       101
  676 │ 2021 Jun 11                       101
  677 │ 2021 Jun 12                        54
  678 │ 2021 Jun 13                        20
  679 │ 2021 Jun 14                        98
  680 │ 2021 Jun 15                       216
  681 │ 2021 Jun 16                       105
  682 │ 2021 Jun 17                        90
  683 │ 2021 Jun 18                       128
  684 │ 2021 Jun 19                        35
  685 │ 2021 Jun 2                        100
  686 │ 2021 Jun 20                        21
  687 │ 2021 Jun 21                       108
  688 │ 2021 Jun 22                        98
  689 │ 2021 Jun 23                        94
  690 │ 2021 Jun 24                       105
  691 │ 2021 Jun 25                        96
  692 │ 2021 Jun 26                        52
  693 │ 2021 Jun 27                        21
  694 │ 2021 Jun 28                       127
  695 │ 2021 Jun 29                       112
  696 │ 2021 Jun 3                         95
  697 │ 2021 Jun 30                       164
  698 │ 2021 Jun 4                        106
  699 │ 2021 Jun 5                         38
  700 │ 2021 Jun 6                         19
  701 │ 2021 Jun 7                        201
  702 │ 2021 Jun 8                        113
  703 │ 2021 Jun 9                         80
  704 │ 2021 Jun-Jul                       38
  705 │ 2021 Mai                            1
  706 │ 2021 Mar                         3710
  707 │ 2021 Mar 1                        542
  708 │ 2021 Mar 10                        99
  709 │ 2021 Mar 11                        87
  710 │ 2021 Mar 12                       103
  711 │ 2021 Mar 13                        24
  712 │ 2021 Mar 14                        25
  713 │ 2021 Mar 15                       182
  714 │ 2021 Mar 16                       123
  715 │ 2021 Mar 17                        73
  716 │ 2021 Mar 18                        92
  717 │ 2021 Mar 19                       108
  718 │ 2021 Mar 2                        130
  719 │ 2021 Mar 20                        60
  720 │ 2021 Mar 21                        39
  721 │ 2021 Mar 22                       151
  722 │ 2021 Mar 23                        87
  723 │ 2021 Mar 24                        89
  724 │ 2021 Mar 25                       106
  725 │ 2021 Mar 26                       114
  726 │ 2021 Mar 27                        25
  727 │ 2021 Mar 28                        21
  728 │ 2021 Mar 29                        77
  729 │ 2021 Mar 3                        115
  730 │ 2021 Mar 30                        86
  731 │ 2021 Mar 31                       141
  732 │ 2021 Mar 4                        107
  733 │ 2021 Mar 5                        139
  734 │ 2021 Mar 6                         49
  735 │ 2021 Mar 7                         42
  736 │ 2021 Mar 8                         91
  737 │ 2021 Mar 9                        104
  738 │ 2021 Mar-Apr                      289
  739 │ 2021 Mar-Apr 01                    38
  740 │ 2021 Mar-Apr 23                     1
  741 │ 2021 March-April                    1
  742 │ 2021 May                         3293
  743 │ 2021 May 1                        384
  744 │ 2021 May 10                       110
  745 │ 2021 May 11                       110
  746 │ 2021 May 12                       137
  747 │ 2021 May 13                        92
  748 │ 2021 May 14                        84
  749 │ 2021 May 15                       107
  750 │ 2021 May 16                        15
  751 │ 2021 May 17                       131
  752 │ 2021 May 18                       127
  753 │ 2021 May 19                       150
  754 │ 2021 May 2                         17
  755 │ 2021 May 20                       109
  756 │ 2021 May 21                       106
  757 │ 2021 May 22                        46
  758 │ 2021 May 23                        27
  759 │ 2021 May 24                        76
  760 │ 2021 May 25                       145
  761 │ 2021 May 26                       110
